"","knockout_1","knockout_2","knockout_3","wtGATA3_1","wtGATA3_2","wtGATA3_3"
"DDX11",1105.08069032557,916.991093586942,898.705793294152,766.161323536277,850.417348123336,981.970295610241
"DDX12P",426.646916795693,354.029733966953,346.970188848755,363.23920021969,403.185214256831,465.554830111531
"DDX17",5605.21100526748,4651.17942472733,4558.43238160818,3922.02088946243,4353.33199632993,5026.75858713273
"DDX18",2697.82255729565,2238.64128545149,2194.00156273379,2025.66528730021,2248.43104042405,2596.24582952915
"DDX19A",1002.39506174536,831.783010890563,815.196806031058,829.625684755467,920.860989834793,1063.3110206412
"DDX19B",401.05419674952,332.793007501223,326.15693423938,383.475313257728,425.646726026573,491.490963000942
"DDX1",5039.89174831805,4182.07999317081,4098.68704741769,4363.05930455585,4842.87213345551,5592.0267748374
"DDX20",1304.78683294551,1082.70637186507,1061.11661894715,1336.04361407072,1482.97053420936,1712.3745383045
"DDX21",11351.0399343698,9419.0429838207,9231.22215258868,9362.53063095753,10392.1435686063,11999.7273275385
"DDX23",2836.39598397055,2353.62890507161,2306.69626678537,2248.67155413102,2495.961674283,2882.06752665169
"DDX24",6838.66522368163,5674.69430697524,5561.53782137957,6077.69269676847,6746.0665882199,7789.63060485441
"DDX25",6.09645791523028,5.05881394873235,4.95793845187655,2.88391482061291,3.201063690659,3.69624333925011
"DDX26B",271.041102203542,224.908713809316,220.423911940214,205.261484789366,227.834428865118,263.078642453121
"DDX27",3602.24466122929,2989.12676710982,2929.52195640657,2962.43220746194,3288.21576405985,3796.87716036082
"DDX28",340.539868294821,282.578484061305,276.943715661177,269.427421176204,299.056799122708,345.318559277777
"DDX31",776.165863847449,644.059018065583,631.21613154905,682.164787381949,757.183574329837,874.313982371929
"DDX39A",5702.25240650726,4731.70395241577,4637.35120649316,4594.24587686052,5099.48267447529,5888.33297011664
"DDX39B",11.5838641163621,9.6122394654239,9.42056619145135,8.34397705138746,9.26157797171409,10.694272028635
"DDX3X",14863.0035479367,12333.2549348896,12087.3231350617,13226.1617716764,14680.6645992052,16951.6491967725
"DDX3Y",1.87624264409024,1.55689788908707,1.52585249985018,0.163550029461946,0.18153589598932,0.209618086745156
"DDX41",2079.80696479317,1725.81466655937,1691.40098506515,1699.24631505459,1886.1152353492,2177.88258823504
"DDX42",4393.43510559945,3645.65311597289,3572.95681340777,3453.05548024194,3832.79368746557,4425.69705168782
"DDX46",6550.87335640627,5435.88588202619,5327.4913660867,5484.61234474338,6087.76421155424,7029.49397212717
"DDX47",2723.43734450132,2259.89632314905,2214.8327634391,2688.62123166475,2984.2933435835,3445.94030596064
"DDX49",1081.1575155818,897.139748465799,879.25029477315,927.677928904684,1029.69620101727,1188.98219225301
"DDX4",0.408451128808375,0.338930949171201,0.33217248201982,0.318550092164764,0.353581571271231,0.408277889473615
"DDX50",2146.12590681496,1780.84583279228,1745.33479996382,1546.89195426191,1717.00621418075,1982.61371716416
"DDX51",516.261135414179,428.391218201823,419.848864712899,407.390430677146,452.191828358298,522.142386141838
